time,MPentropy/
0.3333333333333333,-14498.839830487366
0.6666666666666666,-12090.8852657067
1.0,-22880.11279036504
1.3333333333333333,-18591.84982142818
1.6666666666666667,-16317.283312202608
2.0,-23634.61983172831
2.3333333333333335,-20620.346203824043
2.6666666666666665,-16273.942197696777
3.0,-23620.431281632358
3.3333333333333335,-18822.33869267235
3.6666666666666665,-15354.32016782885
4.0,-20639.3740941609
4.333333333333333,-19352.12952981149
4.666666666666667,-16060.747972411831
5.0,-21772.359453025656
5.333333333333333,-18893.71593509671
5.666666666666667,-16876.672564100834
6.0,-22548.117829273724
6.333333333333333,-21304.43623883381
6.666666666666667,-19701.579745860025
7.0,-22593.515940864225
7.333333333333333,-20625.56701311682
7.666666666666667,-17830.50976526306
8.0,-22690.310038964588
8.333333333333334,2205.462810614914
8.666666666666666,-22603.54516714516
9.0,-1366.6144643670054
9.333333333333334,5722.178992706467
9.666666666666666,2931.064545012687
10.0,2693.2097863325107
10.333333333333334,2960.6949045216916
10.666666666666666,416.24354954225817
11.0,-4991.690160256036
11.333333333333334,-2368.50963347718
11.666666666666666,1772.6286153037531
12.0,-6618.628156066204
12.333333333333334,-4764.090466336411
12.666666666666666,68.19817715734195
13.0,-3030.5080659709006
13.333333333333334,-1935.6504350560112
13.666666666666666,-2672.3248837329097
14.0,-10234.701891980521
14.333333333333334,-9548.166862484128
14.666666666666666,-3468.2367469237756
15.0,-12315.106244155237
15.333333333333334,-12183.049104908685
15.666666666666666,-3476.1247535704047
16.0,-12003.689439752156
16.333333333333332,-10649.323191767038
16.666666666666668,-6914.745847935657
17.0,-12721.662977629428
17.333333333333332,-10739.6588122562
17.666666666666668,-11252.035977280999
18.0,-18401.130256459986
18.333333333333332,-16119.608526863422
18.666666666666668,-14656.776384046394
19.0,-15465.846711465529
19.333333333333332,-13225.55910368627
19.666666666666668,-12762.305723098922
20.0,-15099.007485089165
